2022-05-10 13:15:14.360 | tasks.py 89 | WARNING | IP分析异常重试
2022-05-10 13:20:22.875 | tasks.py 89 | WARNING | IP分析异常重试
2022-05-10 13:20:22.932 | tasks.py 118 | WARNING | ip信誉异常重试
2022-05-10 13:25:07.263 | tasks.py 118 | WARNING | ip信誉异常重试
2022-05-10 13:25:08.129 | tasks.py 89 | WARNING | IP分析异常重试
2022-05-10 13:33:30.417 | tasks.py 118 | WARNING | ip信誉异常重试
2022-05-10 13:33:30.443 | tasks.py 89 | WARNING | IP分析异常重试
2022-05-10 13:34:02.640 | tasks.py 89 | WARNING | IP分析异常重试
2022-05-10 13:34:02.660 | tasks.py 118 | WARNING | ip信誉异常重试
2022-05-10 13:34:44.174 | tasks.py 88 | WARNING | 0
2022-05-10 13:34:44.175 | tasks.py 89 | WARNING | IP分析异常重试
2022-05-10 13:34:44.179 | tasks.py 118 | WARNING | ip信誉异常重试
2022-05-10 13:36:59.215 | tasks.py 118 | WARNING | ip信誉异常重试
2022-05-10 13:36:59.247 | tasks.py 88 | WARNING | 0
2022-05-10 13:36:59.249 | tasks.py 89 | WARNING | IP分析异常重试
2022-05-10 13:42:31.302 | tasks.py 88 | WARNING | 0
2022-05-10 13:42:31.303 | tasks.py 89 | WARNING | IP分析异常重试
2022-05-10 13:42:31.339 | tasks.py 118 | WARNING | ip信誉异常重试
2022-05-10 13:53:27.730 | tasks.py 89 | WARNING | 0
2022-05-10 13:53:27.733 | tasks.py 90 | WARNING | IP分析异常重试
2022-05-10 13:53:28.107 | tasks.py 119 | WARNING | ip信誉异常重试
2022-05-10 14:07:37.234 | tasks.py 89 | WARNING | 0
2022-05-10 14:07:37.243 | tasks.py 90 | WARNING | IP分析异常重试
2022-05-10 14:07:37.525 | tasks.py 119 | WARNING | ip信誉异常重试
2022-05-10 14:11:29.298 | tasks.py 19 | WARNING | 0
2022-05-10 14:11:29.302 | tasks.py 20 | WARNING | 异常重试
2022-05-10 14:13:38.125 | tasks.py 20 | WARNING | 0
2022-05-10 14:13:38.127 | tasks.py 21 | WARNING | 异常重试
2022-05-10 14:15:36.814 | tasks.py 20 | WARNING | 0
2022-05-10 14:15:36.815 | tasks.py 21 | WARNING | 异常重试
2022-05-10 14:16:17.076 | tasks.py 20 | WARNING | 0
2022-05-10 14:16:17.077 | tasks.py 21 | WARNING | 异常重试
2022-05-10 14:16:42.274 | tasks.py 20 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': '2f658760-f7b2-4f94-b461-3e549080ec90', 'shadow': None, 'eta': None, 'expires': None, 'group': None, 'group_index': None, 'retries': 0, 'timelimit': [None, None], 'root_id': '2f658760-f7b2-4f94-b461-3e549080ec90', 'parent_id': None, 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen43595@WOODdeMacBook-Pro.local', 'ignore_result': False, 'properties': {'correlation_id': '2f658760-f7b2-4f94-b461-3e549080ec90', 'reply_to': '0ebcd06a-5c6d-313e-92ba-9a7bcb3156f1', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery'}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': '41854385-2d4b-46ff-b4be-b26309e7096c'}, 'reply_to': '0ebcd06a-5c6d-313e-92ba-9a7bcb3156f1', 'correlation_id': '2f658760-f7b2-4f94-b461-3e549080ec90', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': None}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-10 14:16:42.275 | tasks.py 21 | WARNING | 异常重试
2022-05-10 14:18:13.903 | tasks.py 20 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': 'c641957b-cf21-4dc8-b29f-4f69cce8567f', 'shadow': None, 'eta': None, 'expires': None, 'group': None, 'group_index': None, 'retries': 0, 'timelimit': [None, None], 'root_id': 'c641957b-cf21-4dc8-b29f-4f69cce8567f', 'parent_id': None, 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen44281@WOODdeMacBook-Pro.local', 'ignore_result': False, 'properties': {'correlation_id': 'c641957b-cf21-4dc8-b29f-4f69cce8567f', 'reply_to': '3b8bb515-78ba-30d7-80da-646cfc89f714', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery'}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': '966c763d-6abc-44dd-9dd0-fd10e1eecf7d'}, 'reply_to': '3b8bb515-78ba-30d7-80da-646cfc89f714', 'correlation_id': 'c641957b-cf21-4dc8-b29f-4f69cce8567f', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': None}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-10 14:18:13.904 | tasks.py 21 | WARNING | 异常重试
2022-05-10 14:21:42.199 | tasks.py 20 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': 'dd4b1c68-6e1d-43b2-9234-dc1343d54455', 'shadow': None, 'eta': None, 'expires': None, 'group': None, 'group_index': None, 'retries': 0, 'timelimit': [None, None], 'root_id': 'dd4b1c68-6e1d-43b2-9234-dc1343d54455', 'parent_id': None, 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen45785@WOODdeMacBook-Pro.local', 'ignore_result': False, 'properties': {'correlation_id': 'dd4b1c68-6e1d-43b2-9234-dc1343d54455', 'reply_to': 'f4696c54-ef0f-3ab2-a2cb-5821dd0349d7', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery'}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': '6002d6ee-5fd7-4093-b723-fc31a0123ef5'}, 'reply_to': 'f4696c54-ef0f-3ab2-a2cb-5821dd0349d7', 'correlation_id': 'dd4b1c68-6e1d-43b2-9234-dc1343d54455', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': None}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-10 14:21:42.202 | tasks.py 21 | WARNING | 异常重试
