2022-05-11 08:59:09.390 | tasks.py 21 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': '72f64930-a83c-40f6-ae34-b03248697e35', 'shadow': None, 'eta': '2022-05-10T22:42:12.834905+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 1, 'timelimit': [None, None], 'root_id': '72f64930-a83c-40f6-ae34-b03248697e35', 'parent_id': '72f64930-a83c-40f6-ae34-b03248697e35', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen54878@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': '72f64930-a83c-40f6-ae34-b03248697e35', 'reply_to': '96cb7fc2-45fe-3970-83a2-d59ade67d824', 'replaced_task_nesting': 0, 'origin': 'gen54915@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': '585a7374-5867-483c-9eb2-457e9ac30879'}, 'reply_to': '96cb7fc2-45fe-3970-83a2-d59ade67d824', 'correlation_id': '72f64930-a83c-40f6-ae34-b03248697e35', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-11 08:59:09.393 | tasks.py 22 | WARNING | 1
2022-05-11 08:59:09.393 | tasks.py 24 | WARNING | 异常重试
2022-05-11 08:59:23.854 | tasks.py 124 | WARNING | ip信誉异常重试
2022-05-11 08:59:39.058 | tasks.py 124 | WARNING | ip信誉异常重试
2022-05-11 08:59:55.592 | tasks.py 124 | WARNING | ip信誉异常重试
2022-05-12 11:23:16.997 | tasks.py 21 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': '8551da28-d3df-44f0-a121-cf86ca66bbdd', 'shadow': None, 'eta': '2022-05-11T16:59:17.907057+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 2, 'timelimit': [None, None], 'root_id': '8551da28-d3df-44f0-a121-cf86ca66bbdd', 'parent_id': '8551da28-d3df-44f0-a121-cf86ca66bbdd', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen95905@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': '8551da28-d3df-44f0-a121-cf86ca66bbdd', 'reply_to': 'd6010091-0930-3b0c-9966-d119fba60323', 'replaced_task_nesting': 0, 'origin': 'gen56094@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': '37abfa56-48ff-4843-9ac4-0c68b032041b'}, 'reply_to': 'd6010091-0930-3b0c-9966-d119fba60323', 'correlation_id': '8551da28-d3df-44f0-a121-cf86ca66bbdd', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-12 11:23:17.005 | tasks.py 22 | WARNING | 2
2022-05-12 11:23:17.006 | tasks.py 24 | WARNING | 异常重试
2022-05-12 11:23:30.117 | tasks.py 93 | WARNING | 2
2022-05-12 11:23:30.120 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-12 11:23:31.971 | tasks.py 93 | WARNING | 2
