2022-05-12 11:23:16.988 | tasks.py 21 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': 'c8919df9-a9c4-45dc-8c76-d424e7b01720', 'shadow': None, 'eta': '2022-05-11T16:59:17.896609+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 2, 'timelimit': [None, None], 'root_id': 'c8919df9-a9c4-45dc-8c76-d424e7b01720', 'parent_id': 'c8919df9-a9c4-45dc-8c76-d424e7b01720', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen95905@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': 'c8919df9-a9c4-45dc-8c76-d424e7b01720', 'reply_to': '0680ff7e-bb7a-3190-a648-ca2a7a7da493', 'replaced_task_nesting': 0, 'origin': 'gen55191@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': 'df73d2c6-7b74-4627-b35e-61561092cd0d'}, 'reply_to': '0680ff7e-bb7a-3190-a648-ca2a7a7da493', 'correlation_id': 'c8919df9-a9c4-45dc-8c76-d424e7b01720', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-12 11:23:16.998 | tasks.py 22 | WARNING | 2
2022-05-12 11:23:17.001 | tasks.py 24 | WARNING | 异常重试
2022-05-12 11:23:32.010 | tasks.py 124 | WARNING | ip信誉异常重试
2022-05-12 11:23:46.667 | tasks.py 93 | WARNING | 2
2022-05-12 11:23:46.668 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-12 11:24:01.391 | tasks.py 93 | WARNING | 2
2022-05-12 11:24:01.391 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-12 12:17:07.842 | tasks.py 124 | WARNING | ip信誉异常重试
2022-05-12 12:17:10.405 | tasks.py 93 | WARNING | 0
2022-05-12 12:17:10.406 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-12 12:26:58.358 | tasks.py 93 | WARNING | 0
2022-05-12 12:26:58.359 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-12 12:30:36.069 | tasks.py 124 | WARNING | ip信誉异常重试
2022-05-12 12:49:16.189 | tasks.py 124 | WARNING | ip信誉异常重试
2022-05-12 12:49:16.194 | tasks.py 93 | WARNING | 0
2022-05-12 12:49:16.194 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-12 19:25:14.064 | tasks.py 22 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': '72f64930-a83c-40f6-ae34-b03248697e35', 'shadow': None, 'eta': '2022-05-12T19:23:23.006532+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 3, 'timelimit': [None, None], 'root_id': '72f64930-a83c-40f6-ae34-b03248697e35', 'parent_id': '72f64930-a83c-40f6-ae34-b03248697e35', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen59632@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': '72f64930-a83c-40f6-ae34-b03248697e35', 'reply_to': '96cb7fc2-45fe-3970-83a2-d59ade67d824', 'replaced_task_nesting': 0, 'origin': 'gen95915@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': '089c3857-4821-4692-b453-0a89e48a1e37'}, 'reply_to': '96cb7fc2-45fe-3970-83a2-d59ade67d824', 'correlation_id': '72f64930-a83c-40f6-ae34-b03248697e35', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-12 19:25:14.072 | tasks.py 23 | WARNING | 3
2022-05-12 19:25:14.073 | tasks.py 25 | WARNING | 异常重试
2022-05-12 19:25:14.146 | tasks.py 22 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': 'c8919df9-a9c4-45dc-8c76-d424e7b01720', 'shadow': None, 'eta': '2022-05-12T19:23:23.006767+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 3, 'timelimit': [None, None], 'root_id': 'c8919df9-a9c4-45dc-8c76-d424e7b01720', 'parent_id': 'c8919df9-a9c4-45dc-8c76-d424e7b01720', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen59633@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': 'c8919df9-a9c4-45dc-8c76-d424e7b01720', 'reply_to': '0680ff7e-bb7a-3190-a648-ca2a7a7da493', 'replaced_task_nesting': 0, 'origin': 'gen95905@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': 'bfc2fcf3-8bae-4b1f-b786-258d2211211a'}, 'reply_to': '0680ff7e-bb7a-3190-a648-ca2a7a7da493', 'correlation_id': 'c8919df9-a9c4-45dc-8c76-d424e7b01720', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-12 19:25:14.195 | tasks.py 23 | WARNING | 3
2022-05-12 19:25:14.198 | tasks.py 25 | WARNING | 异常重试
2022-05-12 19:25:14.150 | tasks.py 22 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': '8551da28-d3df-44f0-a121-cf86ca66bbdd', 'shadow': None, 'eta': '2022-05-12T19:23:23.007583+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 3, 'timelimit': [None, None], 'root_id': '8551da28-d3df-44f0-a121-cf86ca66bbdd', 'parent_id': '8551da28-d3df-44f0-a121-cf86ca66bbdd', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen59634@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': '8551da28-d3df-44f0-a121-cf86ca66bbdd', 'reply_to': 'd6010091-0930-3b0c-9966-d119fba60323', 'replaced_task_nesting': 0, 'origin': 'gen95905@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': '1d12b2d3-1669-4963-90e4-999b112f9e44'}, 'reply_to': 'd6010091-0930-3b0c-9966-d119fba60323', 'correlation_id': '8551da28-d3df-44f0-a121-cf86ca66bbdd', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-12 19:25:14.205 | tasks.py 23 | WARNING | 3
2022-05-12 19:25:14.207 | tasks.py 25 | WARNING | 异常重试
2022-05-12 19:25:26.176 | tasks.py 93 | WARNING | 3
2022-05-12 19:25:26.178 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-12 19:25:28.745 | tasks.py 22 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': 'd6c2c3b0-3d97-4d80-b209-2056a635f7e8', 'shadow': None, 'eta': '2022-05-12T19:23:38.323051+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 3, 'timelimit': [None, None], 'root_id': 'd6c2c3b0-3d97-4d80-b209-2056a635f7e8', 'parent_id': 'd6c2c3b0-3d97-4d80-b209-2056a635f7e8', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen59638@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': 'd6c2c3b0-3d97-4d80-b209-2056a635f7e8', 'reply_to': '311748dc-7f71-3699-8614-2de96fd55ace', 'replaced_task_nesting': 0, 'origin': 'gen95906@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': '94d171d4-952a-4db2-b300-41e6876cfa58'}, 'reply_to': '311748dc-7f71-3699-8614-2de96fd55ace', 'correlation_id': 'd6c2c3b0-3d97-4d80-b209-2056a635f7e8', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-12 19:25:28.775 | tasks.py 23 | WARNING | 3
2022-05-12 19:25:28.776 | tasks.py 25 | WARNING | 异常重试
2022-05-12 19:25:28.848 | tasks.py 22 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': '2f658760-f7b2-4f94-b461-3e549080ec90', 'shadow': None, 'eta': '2022-05-12T19:23:38.330011+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 3, 'timelimit': [None, None], 'root_id': '2f658760-f7b2-4f94-b461-3e549080ec90', 'parent_id': '2f658760-f7b2-4f94-b461-3e549080ec90', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen59638@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': '2f658760-f7b2-4f94-b461-3e549080ec90', 'reply_to': '0ebcd06a-5c6d-313e-92ba-9a7bcb3156f1', 'replaced_task_nesting': 0, 'origin': 'gen95906@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': '5b616b0f-9066-40c3-80c2-379ab50168bf'}, 'reply_to': '0ebcd06a-5c6d-313e-92ba-9a7bcb3156f1', 'correlation_id': '2f658760-f7b2-4f94-b461-3e549080ec90', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-12 19:25:28.849 | tasks.py 23 | WARNING | 3
2022-05-12 19:25:28.849 | tasks.py 25 | WARNING | 异常重试
2022-05-12 19:25:28.874 | tasks.py 22 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': '61ca87e4-e454-488b-ab48-ea4436bbfb08', 'shadow': None, 'eta': '2022-05-12T19:23:38.439525+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 3, 'timelimit': [None, None], 'root_id': '61ca87e4-e454-488b-ab48-ea4436bbfb08', 'parent_id': '61ca87e4-e454-488b-ab48-ea4436bbfb08', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen59630@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': '61ca87e4-e454-488b-ab48-ea4436bbfb08', 'reply_to': '5c295640-968a-346e-97d2-f78b235aa3cb', 'replaced_task_nesting': 0, 'origin': 'gen95919@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': '401a8c37-c0e6-43ad-9e64-fa381f29035a'}, 'reply_to': '5c295640-968a-346e-97d2-f78b235aa3cb', 'correlation_id': '61ca87e4-e454-488b-ab48-ea4436bbfb08', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-12 19:25:28.875 | tasks.py 23 | WARNING | 3
2022-05-12 19:25:28.875 | tasks.py 25 | WARNING | 异常重试
2022-05-12 19:25:28.881 | tasks.py 22 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': 'a89f8d82-9c09-42fb-8c61-fc24eabd9dae', 'shadow': None, 'eta': '2022-05-12T19:23:38.443025+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 3, 'timelimit': [None, None], 'root_id': 'a89f8d82-9c09-42fb-8c61-fc24eabd9dae', 'parent_id': 'a89f8d82-9c09-42fb-8c61-fc24eabd9dae', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen59630@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': 'a89f8d82-9c09-42fb-8c61-fc24eabd9dae', 'reply_to': 'ede5d1f9-9a65-3f3c-bf39-ea15e8007e99', 'replaced_task_nesting': 0, 'origin': 'gen95919@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': 'c2317fe5-65f1-4f1a-a91c-00e7eec229f2'}, 'reply_to': 'ede5d1f9-9a65-3f3c-bf39-ea15e8007e99', 'correlation_id': 'a89f8d82-9c09-42fb-8c61-fc24eabd9dae', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-12 19:25:28.882 | tasks.py 23 | WARNING | 3
2022-05-12 19:25:28.883 | tasks.py 25 | WARNING | 异常重试
2022-05-12 19:25:28.937 | tasks.py 22 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': 'ebdc0fc4-028e-4d0e-bda6-4aea22a2f434', 'shadow': None, 'eta': '2022-05-12T19:23:38.326579+08:00', 'expires': None, 'group': None, 'group_index': None, 'retries': 3, 'timelimit': [None, None], 'root_id': 'ebdc0fc4-028e-4d0e-bda6-4aea22a2f434', 'parent_id': 'ebdc0fc4-028e-4d0e-bda6-4aea22a2f434', 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen59638@WOODdeMacBook-Pro.local', 'ignore_result': False, 'redelivered': True, 'properties': {'correlation_id': 'ebdc0fc4-028e-4d0e-bda6-4aea22a2f434', 'reply_to': '8b324485-2dcc-34e5-af6c-fb5d3dbcce3c', 'replaced_task_nesting': 0, 'origin': 'gen95906@WOODdeMacBook-Pro.local', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'redelivered': True}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': 'bc8fe2a9-ea16-43a3-9e94-5e99d6e77d29'}, 'reply_to': '8b324485-2dcc-34e5-af6c-fb5d3dbcce3c', 'correlation_id': 'ebdc0fc4-028e-4d0e-bda6-4aea22a2f434', 'hostname': 'celery@WOODdeMacBook-Pro.local', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': True}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-12 19:25:28.956 | tasks.py 23 | WARNING | 3
2022-05-12 19:25:28.957 | tasks.py 25 | WARNING | 异常重试
