2022-05-18 08:19:46.159 | tasks.py 126 | WARNING | ip信誉异常重试
2022-05-18 08:19:47.369 | tasks.py 126 | WARNING | ip信誉异常重试
2022-05-18 10:07:36.641 | tasks.py 93 | WARNING | 2
2022-05-18 10:07:36.642 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-18 10:34:13.966 | tasks.py 126 | WARNING | ip信誉异常重试
2022-05-18 10:34:16.041 | tasks.py 93 | WARNING | 3
2022-05-18 10:34:16.115 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-18 10:34:17.208 | tasks.py 93 | WARNING | 3
2022-05-18 10:34:17.209 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-18 14:31:39.727 | tasks.py 126 | WARNING | ip信誉异常重试
2022-05-18 14:31:40.698 | tasks.py 93 | WARNING | 3
2022-05-18 14:31:40.698 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-18 14:32:48.674 | tasks.py 93 | WARNING | 3
2022-05-18 14:32:48.675 | tasks.py 94 | WARNING | IP分析异常重试
2022-05-18 15:39:44.302 | tasks.py 25 | WARNING | <Context: {'lang': 'py', 'task': 'apps.alarm.tasks.add', 'id': '5837a50b-73eb-40af-a1f8-e9b8d5e0832c', 'shadow': None, 'eta': None, 'expires': None, 'group': None, 'group_index': None, 'retries': 0, 'timelimit': [None, None], 'root_id': '5837a50b-73eb-40af-a1f8-e9b8d5e0832c', 'parent_id': None, 'argsrepr': '()', 'kwargsrepr': '{}', 'origin': 'gen2625@WOODdeMBP', 'ignore_result': False, 'properties': {'correlation_id': '5837a50b-73eb-40af-a1f8-e9b8d5e0832c', 'reply_to': '4e726abe-e110-35a3-bf88-293cca049d4d', 'delivery_mode': 2, 'delivery_info': {'exchange': '', 'routing_key': 'celery'}, 'priority': 0, 'body_encoding': 'base64', 'delivery_tag': 'cf38d50d-bf03-4ec8-b642-7ef647343e44'}, 'reply_to': '4e726abe-e110-35a3-bf88-293cca049d4d', 'correlation_id': '5837a50b-73eb-40af-a1f8-e9b8d5e0832c', 'hostname': 'celery@WOODdeMBP', 'delivery_info': {'exchange': '', 'routing_key': 'celery', 'priority': 0, 'redelivered': None}, 'args': [], 'kwargs': {}, 'is_eager': False, 'callbacks': None, 'errbacks': None, 'chain': None, 'chord': None, 'called_directly': False, '_protected': 1}>
2022-05-18 15:39:44.309 | tasks.py 26 | WARNING | 0
2022-05-18 15:39:44.310 | tasks.py 28 | WARNING | 异常重试
2022-05-18 17:11:23.134 | tasks.py 129 | WARNING | ip信誉异常重试
2022-05-18 17:11:23.146 | tasks.py 129 | WARNING | ip信誉异常重试
2022-05-18 17:11:23.148 | tasks.py 129 | WARNING | ip信誉异常重试
2022-05-18 17:11:23.154 | tasks.py 96 | WARNING | 3
2022-05-18 17:11:23.154 | tasks.py 97 | WARNING | IP分析异常重试
2022-05-18 17:11:23.193 | tasks.py 96 | WARNING | 3
2022-05-18 17:11:23.194 | tasks.py 97 | WARNING | IP分析异常重试
2022-05-18 17:11:23.194 | tasks.py 96 | WARNING | 3
2022-05-18 17:11:23.195 | tasks.py 97 | WARNING | IP分析异常重试
2022-05-18 18:39:51.907 | tasks.py 129 | WARNING | ip信誉异常重试
2022-05-18 18:39:51.914 | tasks.py 96 | WARNING | 3
2022-05-18 18:39:51.915 | tasks.py 97 | WARNING | IP分析异常重试
2022-05-18 18:39:51.987 | tasks.py 96 | WARNING | 3
2022-05-18 18:39:51.990 | tasks.py 97 | WARNING | IP分析异常重试
2022-05-18 18:39:51.990 | tasks.py 96 | WARNING | 3
2022-05-18 18:39:51.991 | tasks.py 129 | WARNING | ip信誉异常重试
2022-05-18 18:39:51.992 | tasks.py 97 | WARNING | IP分析异常重试
2022-05-18 18:39:51.996 | tasks.py 129 | WARNING | ip信誉异常重试
2022-05-18 18:39:52.004 | tasks.py 96 | WARNING | 3
2022-05-18 18:39:52.009 | tasks.py 97 | WARNING | IP分析异常重试
2022-05-18 18:39:52.021 | tasks.py 96 | WARNING | 3
2022-05-18 18:39:52.022 | tasks.py 129 | WARNING | ip信誉异常重试
2022-05-18 18:39:52.023 | tasks.py 97 | WARNING | IP分析异常重试
2022-05-18 18:39:52.021 | tasks.py 129 | WARNING | ip信誉异常重试
2022-05-18 18:39:52.743 | tasks.py 129 | WARNING | ip信誉异常重试
2022-05-18 18:39:52.817 | tasks.py 96 | WARNING | 3
2022-05-18 18:39:52.817 | tasks.py 97 | WARNING | IP分析异常重试
2022-05-18 19:08:10.724 | tasks.py 129 | WARNING | ip信誉异常重试
2022-05-18 19:08:10.726 | tasks.py 129 | WARNING | ip信誉异常重试
2022-05-18 19:08:10.823 | tasks.py 96 | WARNING | 3
2022-05-18 19:08:10.828 | tasks.py 97 | WARNING | IP分析异常重试
2022-05-18 19:08:10.929 | tasks.py 96 | WARNING | 3
2022-05-18 19:08:10.928 | tasks.py 96 | WARNING | 3
2022-05-18 19:08:10.934 | tasks.py 97 | WARNING | IP分析异常重试
2022-05-18 19:08:10.934 | tasks.py 97 | WARNING | IP分析异常重试
2022-05-18 19:08:10.936 | tasks.py 129 | WARNING | ip信誉异常重试
2022-05-18 19:08:10.936 | tasks.py 96 | WARNING | 3
2022-05-18 19:08:10.936 | tasks.py 129 | WARNING | ip信誉异常重试
2022-05-18 19:08:10.940 | tasks.py 97 | WARNING | IP分析异常重试
2022-05-18 19:08:11.175 | tasks.py 96 | WARNING | 3
2022-05-18 19:08:11.175 | tasks.py 97 | WARNING | IP分析异常重试
2022-05-18 19:08:11.273 | tasks.py 96 | WARNING | 3
2022-05-18 19:08:11.274 | tasks.py 97 | WARNING | IP分析异常重试
2022-05-18 19:08:11.369 | tasks.py 129 | WARNING | ip信誉异常重试
2022-05-18 19:08:11.369 | tasks.py 96 | WARNING | 3
2022-05-18 19:08:11.403 | tasks.py 97 | WARNING | IP分析异常重试
2022-05-18 19:08:11.586 | tasks.py 96 | WARNING | 3
2022-05-18 19:08:11.587 | tasks.py 97 | WARNING | IP分析异常重试
2022-05-18 19:08:11.752 | tasks.py 96 | WARNING | 3
2022-05-18 19:08:11.752 | tasks.py 97 | WARNING | IP分析异常重试
2022-05-18 19:08:11.753 | tasks.py 96 | WARNING | 3
2022-05-18 19:08:11.753 | tasks.py 97 | WARNING | IP分析异常重试
2022-05-18 19:08:11.774 | tasks.py 129 | WARNING | ip信誉异常重试
2022-05-18 19:08:11.774 | tasks.py 129 | WARNING | ip信誉异常重试
2022-05-18 19:08:11.755 | tasks.py 96 | WARNING | 3
2022-05-18 19:08:11.813 | tasks.py 129 | WARNING | ip信誉异常重试
2022-05-18 19:08:11.809 | tasks.py 97 | WARNING | IP分析异常重试
2022-05-18 19:08:11.930 | tasks.py 96 | WARNING | 3
2022-05-18 19:08:11.933 | tasks.py 97 | WARNING | IP分析异常重试
2022-05-18 19:08:11.988 | tasks.py 129 | WARNING | ip信誉异常重试
2022-05-18 19:08:12.080 | tasks.py 129 | WARNING | ip信誉异常重试
2022-05-18 19:08:12.276 | tasks.py 129 | WARNING | ip信誉异常重试
2022-05-18 19:08:12.448 | tasks.py 129 | WARNING | ip信誉异常重试
