2022-05-13 14:23:25.642 | consumer.py 90 | ERROR | 连接异常，重新连接
2022-05-13 14:23:27.391 | consumer.py 90 | ERROR | 连接异常，重新连接
2022-05-13 14:23:28.645 | consumer.py 90 | ERROR | 连接异常，重新连接
2022-05-13 14:23:31.294 | consumer.py 90 | ERROR | 连接异常，重新连接
2022-05-13 14:23:34.130 | consumer.py 90 | ERROR | 连接异常，重新连接
2022-05-13 14:23:38.480 | consumer.py 90 | ERROR | 连接异常，重新连接
2022-05-13 14:23:39.861 | consumer.py 90 | ERROR | 连接异常，重新连接
2022-05-13 14:23:44.389 | consumer.py 90 | ERROR | 连接异常，重新连接
2022-05-13 14:23:48.778 | consumer.py 90 | ERROR | 连接异常，重新连接
2022-05-13 14:23:52.657 | consumer.py 90 | ERROR | 连接异常，重新连接
2022-05-13 14:23:56.267 | consumer.py 90 | ERROR | 连接异常，重新连接
2022-05-13 14:23:58.074 | consumer.py 90 | ERROR | 连接异常，重新连接
2022-05-13 14:24:03.012 | consumer.py 90 | ERROR | 连接异常，重新连接
2022-05-13 14:24:06.956 | consumer.py 90 | ERROR | 连接异常，重新连接
2022-05-13 14:30:11.828 | consumer.py 42 | INFO | received new message for - topic_new_scan_server
2022-05-13 14:30:11.829 | consumer.py 90 | ERROR | 连接异常，重新连接
2022-05-13 14:31:56.103 | consumer.py 44 | INFO | received new message for - topic_new_scan_server
2022-05-13 14:31:56.103 | consumer.py 95 | ERROR | 异常，重新连接
2022-05-13 14:32:25.440 | consumer.py 44 | INFO | received new message for - topic_new_scan_server
2022-05-13 14:32:25.441 | consumer.py 95 | ERROR | 异常：'status'
2022-05-13 14:33:37.393 | consumer.py 44 | INFO | Received new message for - topic_new_scan_server
2022-05-13 14:33:37.393 | consumer.py 95 | ERROR | 异常：'status'
2022-05-13 14:33:55.171 | consumer.py 44 | INFO | Received new message for - topic_new_scan_server
2022-05-13 14:34:10.465 | consumer.py 44 | INFO | Received new message for - topic_new_scan_server
2022-05-13 14:35:15.770 | consumer.py 44 | INFO | Received new message for - topic_new_scan_server
2022-05-13 14:36:34.487 | consumer.py 45 | INFO | Received new message for - topic_new_scan_server
2022-05-13 14:36:34.487 | consumer.py 97 | ERROR | 数据存储异常：Expecting value: line 1 column 1 (char 0)
2022-05-13 14:36:43.309 | consumer.py 45 | INFO | Received new message for - topic_new_scan_server
2022-05-13 14:36:43.309 | consumer.py 97 | ERROR | 数据存储异常：Expecting value: line 1 column 1 (char 0)
2022-05-13 14:37:10.213 | consumer.py 45 | INFO | Received new message for - topic_new_scan_server
2022-05-13 14:37:10.213 | consumer.py 97 | ERROR | 数据存储异常：Expecting value: line 1 column 1 (char 0)
2022-05-13 14:38:45.055 | consumer.py 45 | INFO | Received new message for - topic_new_scan_server
2022-05-13 14:38:45.056 | consumer.py 97 | ERROR | 数据存储异常：Expecting value: line 1 column 1 (char 0)
2022-05-13 14:39:19.733 | consumer.py 45 | INFO | Received new message for - topic_new_scan_server
2022-05-13 14:39:19.733 | consumer.py 99 | ERROR | 异常：Expecting value: line 1 column 1 (char 0)
2022-05-13 14:40:19.532 | consumer.py 45 | INFO | Received new message for - topic_new_scan_server
2022-05-13 14:40:19.533 | consumer.py 99 | ERROR | 异常：Expecting value: line 1 column 1 (char 0)
2022-05-13 14:41:37.654 | consumer.py 45 | INFO | Received new message for - topic_new_scan_server
2022-05-13 14:42:24.635 | consumer.py 45 | INFO | Received new message for - topic_new_scan_server
2022-05-13 14:42:24.636 | consumer.py 53 | WARNING | Saving to DB
2022-05-13 14:42:24.636 | consumer.py 61 | ERROR | 数据存储异常：Expecting value: line 1 column 1 (char 0)
2022-05-13 14:42:48.313 | consumer.py 45 | INFO | Received new message for - topic_new_scan_server
2022-05-13 14:42:48.314 | consumer.py 46 | WARNING | Received b'dadsa'
2022-05-13 14:42:48.314 | consumer.py 53 | WARNING | Saving to DB
2022-05-13 14:42:48.314 | consumer.py 61 | ERROR | 数据存储异常：Expecting value: line 1 column 1 (char 0)
2022-05-13 14:43:27.598 | consumer.py 45 | INFO | Received new message for - topic_new_scan_server
2022-05-13 14:43:27.598 | consumer.py 47 | WARNING | Received 'dadsa'
2022-05-13 14:43:27.598 | consumer.py 52 | WARNING | Saving to DB
2022-05-13 14:43:27.598 | consumer.py 60 | ERROR | 数据存储异常：Expecting value: line 1 column 1 (char 0)
2022-05-13 14:44:01.522 | consumer.py 45 | INFO | Received new message for - topic_new_scan_server
2022-05-13 14:44:01.523 | consumer.py 47 | WARNING | Received 'dadsa'
2022-05-13 14:44:01.523 | consumer.py 52 | WARNING | Saving to DB
2022-05-13 14:44:01.523 | consumer.py 60 | ERROR | 数据存储异常：Expecting value: line 1 column 1 (char 0)
2022-05-13 14:44:15.839 | consumer.py 45 | INFO | Received new message for - topic_new_scan_server
2022-05-13 14:44:15.839 | consumer.py 47 | WARNING | Received 'dadsa'
2022-05-13 14:44:15.839 | consumer.py 52 | WARNING | Saving to DB
2022-05-13 14:44:15.840 | consumer.py 60 | ERROR | 数据存储异常：Expecting value: line 1 column 1 (char 0)
2022-05-13 14:44:41.003 | consumer.py 45 | INFO | Received new message for - topic_new_scan_server
2022-05-13 14:44:41.004 | consumer.py 47 | WARNING | Received 'dadsa'
2022-05-13 14:44:41.004 | consumer.py 52 | WARNING | Saving to DB
2022-05-13 14:44:41.004 | consumer.py 60 | ERROR | 数据存储异常：Expecting value: line 1 column 1 (char 0)
2022-05-13 14:45:12.869 | consumer.py 70 | WARNING | Waiting for data for queue_new_scan_server. To exit press CTRL+C
2022-05-13 14:45:14.858 | consumer.py 45 | INFO | Received new message for - topic_new_scan_server
2022-05-13 14:45:14.858 | consumer.py 47 | WARNING | Received 'dadsa'
2022-05-13 14:45:14.858 | consumer.py 52 | WARNING | Saving to DB
2022-05-13 14:45:14.858 | consumer.py 60 | ERROR | 数据存储异常：Expecting value: line 1 column 1 (char 0)
2022-05-13 14:45:52.940 | consumer.py 70 | WARNING | Waiting for data for queue_new_scan_server. To exit press CTRL+C
2022-05-13 14:46:03.760 | consumer.py 94 | ERROR | 异常：(320, "CONNECTION_FORCED - broker forced connection closure with reason 'shutdown'")
2022-05-13 14:46:24.592 | consumer.py 94 | ERROR | 异常：
2022-05-13 14:46:28.479 | consumer.py 94 | ERROR | 异常：
2022-05-13 14:46:31.801 | consumer.py 94 | ERROR | 异常：
2022-05-13 14:46:35.824 | consumer.py 94 | ERROR | 异常：
2022-05-13 14:46:38.306 | consumer.py 94 | ERROR | 连接异常，重新连接：
2022-05-13 14:46:41.777 | consumer.py 94 | ERROR | 连接异常，重新连接：
2022-05-13 14:46:46.617 | consumer.py 94 | ERROR | 连接异常，重新连接：
2022-05-13 14:46:49.036 | consumer.py 94 | ERROR | 连接异常，重新连接：
2022-05-13 14:46:51.277 | consumer.py 94 | ERROR | 连接异常，重新连接：
2022-05-13 14:46:53.490 | consumer.py 94 | ERROR | 连接异常，重新连接：
2022-05-13 14:46:55.870 | consumer.py 94 | ERROR | 连接异常，重新连接：StreamLostError: ('Transport indicated EOF',)
2022-05-13 14:47:00.770 | consumer.py 94 | ERROR | 连接异常，重新连接：StreamLostError: ('Transport indicated EOF',)
2022-05-13 14:47:04.043 | consumer.py 70 | WARNING | Waiting for data for queue_new_scan_server. To exit press CTRL+C
2022-05-13 14:47:34.884 | consumer.py 70 | WARNING | 已连接，Waiting for data for queue_new_scan_server. To exit press CTRL+C
