2022-05-17 08:40:18.967 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 08:40:24.000 | consumer_ts_server.py 69 | WARNING | 已连接， Waiting for queue: [ queue_new_scan_server ] routing_key: [ topic_new_scan_server ]
2022-05-17 08:44:05.606 | consumer_ts_server.py 46 | INFO | Received new message from - topic_new_scan_server
2022-05-17 08:44:05.607 | consumer_ts_server.py 48 | WARNING | Received 'hello world'
2022-05-17 08:44:05.607 | consumer_ts_server.py 53 | WARNING | Saving to DB
2022-05-17 08:44:05.607 | consumer_ts_server.py 59 | ERROR | 数据存储异常：Expecting value: line 1 column 1 (char 0)
2022-05-17 08:52:24.322 | consumer_ts_server.py 46 | INFO | Received new message from - topic_new_scan_server
2022-05-17 08:52:24.323 | consumer_ts_server.py 48 | WARNING | Received '{"ip": {"local_ip": "127.0.0.1", "public_ip": "127.0.0.1"}, "server_type": "\\u626b\\u63cf1", "status": "\\u6b63\\u5e38"}'
2022-05-17 08:52:24.323 | consumer_ts_server.py 53 | WARNING | Saving to DB
2022-05-17 08:52:24.323 | consumer_ts_server.py 59 | ERROR | 数据存储异常：'data'
2022-05-17 08:52:51.270 | consumer_ts_server.py 71 | WARNING | 已连接， Waiting for queue: [ queue_new_scan_server ] routing_key: [ topic_new_scan_server ]
2022-05-17 08:53:02.346 | consumer_ts_server.py 46 | INFO | Received new message from - topic_new_scan_server
2022-05-17 08:53:02.347 | consumer_ts_server.py 48 | WARNING | Received '{"ip": {"local_ip": "127.0.0.1", "public_ip": "127.0.0.1"}, "server_type": "\\u626b\\u63cf1", "status": "\\u6b63\\u5e38"}'
2022-05-17 08:53:02.347 | consumer_ts_server.py 53 | WARNING | Saving to DB
2022-05-17 08:53:02.429 | consumer_ts_server.py 59 | WARNING | Saved to DB
2022-05-17 08:53:39.127 | consumer_ts_server.py 46 | INFO | Received new message from - topic_new_scan_server
2022-05-17 08:53:39.127 | consumer_ts_server.py 48 | WARNING | Received '{"ip": {"local_ip": "127.0.0.1", "public_ip": "127.0.0.1"}, "server_type": "扫描1", "status": "正常"}'
2022-05-17 08:53:39.127 | consumer_ts_server.py 53 | WARNING | Saving to DB
2022-05-17 08:53:39.138 | consumer_ts_server.py 59 | WARNING | Saved to DB
2022-05-17 14:24:38.440 | consumer2.py 74 | WARNING | 已连接， Waiting for queue: [ queue_new_scan_server ] routing_key: [ topic_new_scan_server ]
2022-05-17 16:08:43.910 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：Transport indicated EOF
2022-05-17 16:08:51.053 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：StreamLostError: ("Stream connection lost: ConnectionResetError(54, 'Connection reset by peer')",)
2022-05-17 16:08:53.437 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:08:56.293 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:08:59.714 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:09:03.763 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:09:06.441 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:09:09.106 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:09:13.232 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:09:16.391 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:09:18.755 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:09:20.203 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:09:24.877 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:09:26.451 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:09:29.580 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:09:32.998 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:09:37.435 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:09:41.749 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:09:45.076 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:09:49.793 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:09:53.426 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:09:54.445 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:09:58.974 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:10:00.662 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:10:04.083 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:10:08.273 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:10:09.867 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:10:14.489 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:10:18.880 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:10:22.386 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:10:24.794 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:10:29.016 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:10:33.842 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:10:35.430 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:10:38.877 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:10:40.578 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:10:43.632 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:10:46.785 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:10:48.714 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:10:52.961 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:10:56.960 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:11:01.566 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:11:03.827 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:11:07.650 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:11:11.685 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:11:14.783 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:11:16.710 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:11:18.697 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:11:21.719 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:11:23.409 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:11:27.683 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:11:31.058 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:11:35.794 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:11:39.946 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:11:43.694 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:11:45.188 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:11:49.700 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:11:52.968 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:11:56.207 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:12:00.713 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:12:04.542 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:12:06.413 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:12:08.882 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:12:12.228 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:12:13.962 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:12:17.287 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:12:22.006 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:12:24.509 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:12:25.679 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:12:27.243 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:12:28.291 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:12:31.127 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:12:35.258 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:12:39.817 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:12:43.544 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:12:46.057 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:12:50.883 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:12:53.161 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:12:54.332 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:12:56.389 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:12:58.395 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:01.670 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:03.070 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:07.475 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:10.148 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:12.404 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:15.226 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:16.439 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:19.702 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:23.321 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:24.782 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:26.298 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:27.328 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:31.698 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:35.802 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:37.892 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:39.432 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:41.074 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:43.238 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:47.797 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
