2022-05-21 00:10:02.523 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 00:10:04.411 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 00:26:27.160 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 00:26:28.957 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 00:42:04.571 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 00:57:40.954 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 00:57:44.600 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 01:12:58.765 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 01:30:14.724 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 01:30:16.040 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 01:47:35.991 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 02:02:38.699 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 02:02:41.618 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 02:19:52.260 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 02:19:54.986 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 02:36:17.798 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 02:36:19.987 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 02:36:23.750 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 02:36:28.254 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 02:36:31.183 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 02:36:32.712 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 02:36:34.406 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 02:36:37.095 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 02:36:38.959 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 02:36:41.637 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 02:41:27.774 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 02:41:30.515 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 02:41:33.809 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 02:41:37.853 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 02:41:40.129 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 02:41:42.467 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 02:41:45.986 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 02:41:49.641 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 02:41:52.561 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 02:57:10.985 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 02:57:12.093 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 03:14:26.023 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 03:14:29.961 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 03:32:21.147 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 03:32:25.019 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 03:47:56.000 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-21 03:47:57.879 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
