2022-05-31 15:33:39.290 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:33:51.624 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:34:03.563 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:34:15.306 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:34:27.234 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:34:38.999 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:34:50.770 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:35:03.166 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:35:15.162 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:35:26.862 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:35:38.503 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:35:50.468 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:36:02.502 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:36:15.494 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:36:27.892 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:36:39.912 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:36:51.725 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:37:03.692 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:37:15.556 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:37:27.492 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:37:39.224 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:37:51.333 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:38:03.470 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:38:15.176 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:38:27.378 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:38:39.513 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:38:52.214 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:39:04.109 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:39:15.826 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:39:27.884 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:39:40.082 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:39:53.542 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:40:05.792 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:40:18.138 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:40:30.239 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:40:42.770 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:40:55.036 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:41:08.322 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:41:24.884 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:41:37.299 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:41:49.027 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:42:01.278 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:42:14.952 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:42:27.382 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:42:40.138 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:42:52.696 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:43:06.007 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:43:18.333 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:43:30.510 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:43:43.461 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:43:55.645 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:44:07.840 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:44:21.089 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:44:33.804 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:44:46.381 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:44:59.372 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:45:11.558 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:45:24.856 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:45:38.697 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:45:52.039 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:46:04.215 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:46:16.921 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:46:29.520 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:46:42.717 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:46:55.494 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:47:08.809 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:47:22.590 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:47:35.716 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:47:48.569 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:48:02.147 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 15:48:14.494 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:04:48.563 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:05:00.574 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:05:12.931 | consumer1.py 101 | INFO | consumer1 start
